"","Player","Position","Injury","Game Status","Team","Week"
"1657","Matt LaCosse","TE","Knee","Not Listed","Denver Broncos",7
"1658","Ron Leary","G","Achilles","Out","Denver Broncos",7
"1659","Brandon Marshall","ILB","Knee","Not Listed","Denver Broncos",7
"1660","Brian Parker","TE","Neck","Not Listed","Denver Broncos",7
"1661","Shane Ray","OLB","Ankle/wrist","Out","Denver Broncos",7
"1662","Darian Stewart","S","Neck/knee","Not Listed","Denver Broncos",7
"1663","Dymonte Thomas","S","Chest","Out","Denver Broncos",7
"1664","Jared Veldheer","T","Knee","Out","Denver Broncos",7
"1665","Tavon Austin","WR","Groin","Out","Dallas Cowboys",7
"1666","Chidobe Awuzie","CB","Ankle","Questionable","Dallas Cowboys",7
"1667","Taco Charlton","DE","Thumb","Not Listed","Dallas Cowboys",7
"1668","Maliek Collins","DT","Knee","Not Listed","Dallas Cowboys",7
"1669","Randy Gregory","DE","Knee","Not Listed","Dallas Cowboys",7
"1670","David Irving","DL","Not Injury Related","Not Listed","Dallas Cowboys",7
"1671","Demarcus Lawrence","DE","Shoulder","Not Listed","Dallas Cowboys",7
"1672","Sean Lee","LB","Hamstring","Not Listed","Dallas Cowboys",7
"1673","Tyron Smith","T","Ankle","Not Listed","Dallas Cowboys",7
"1674","Joe Thomas","LB","Foot","Out","Dallas Cowboys",7
"1675","D.J. Alexander","LB","Quadricep","Out","Philadelphia Eagles",7
"1676","Derek Barnett","DE","Shoulder","Not Listed","Philadelphia Eagles",7
"1677","Rasul Douglas","CB","Not Injury Related","Not Listed","Philadelphia Eagles",7
"1678","Nathan Gerry","LB","Ankle, Knee","Out","Philadelphia Eagles",7
"1679","Corey Graham","S","Hamstring","Out","Philadelphia Eagles",7
"1680","Lane Johnson","T","Ankle","Not Listed","Philadelphia Eagles",7
"1681","Sidney Jones","CB","Hamstring","Out","Philadelphia Eagles",7
"1682","Jalen Mills","CB","Hamstring","Not Listed","Philadelphia Eagles",7
"1683","Haloti Ngata","DT","Calf","Questionable","Philadelphia Eagles",7
"1684","Jason Peters","T","Biceps","Not Listed","Philadelphia Eagles",7
"1685","Darren Sproles","RB","Hamstring","Out","Philadelphia Eagles",7
"1686","Carson Wentz","QB","Back","Not Listed","Philadelphia Eagles",7
"1687","Troy Apke","S","Hamstring","Doubtful","Washington Redskins",6
"1688","Zach Brown","LB","Oblique/Shin","Not Listed","Washington Redskins",6
"1689","Jamison Crowder","WR","Ankle","Out","Washington Redskins",6
"1690","Josh Doctson","WR","Heel","Not Listed","Washington Redskins",6
"1691","Quinton Dunbar","CB","Shin","Questionable","Washington Redskins",6
"1692","Danny Johnson","CB","Forearm","Questionable","Washington Redskins",6
"1693","Ryan Kerrigan","LB","Chest","Not Listed","Washington Redskins",6
"1694","Shawn Lauvao","G","Calf","Questionable","Washington Redskins",6
"1695","Colt McCoy","QB","Right Thumb","Not Listed","Washington Redskins",6
"1696","Adrian Peterson","RB","Ankle/Shoulder","Questionable","Washington Redskins",6
"1697","Paul Richardson Jr.","WR","Shoulder/Knee","Doubtful","Washington Redskins",6
"1698","Brandon Scherff","G","Knee","Not Listed","Washington Redskins",6
"1699","Chris Thompson","RB","Rib/Knee","Questionable","Washington Redskins",6
"1700","Trent Williams","T","Knee","Not Listed","Washington Redskins",6
"1701","Jawill Davis","WR","Concussion","OUT","New York Giants",7
"1702","Rhett Ellison","TE","Foot","(-)","New York Giants",7
"1703","Evan Engram","TE","Knee","(-)","New York Giants",7
"1704","Russell Shepard","WR","Neck","QUESTIONABLE","New York Giants",7
"1705","Nate Solder","T","Neck","(-)","New York Giants",7
"1706","Olivier Vernon","OLB","Ribs","(-)","New York Giants",7
"1707","Terron Armstead","T","Knee","Not Listed","New Oleans Saints",7
"1708","Jermon Bushrod","T","NIR","Questionable","New Oleans Saints",7
"1709","Marshon Lattimore","CB","Concussion","Not Listed","New Oleans Saints",7
"1710","Cameron Meredith","WR","Knee","Not Listed","New Oleans Saints",7
"1711","Andrus Peat","T","Head","Out","New Oleans Saints",7
"1712","Taylor Stallworth","DT","Ankle","Out","New Oleans Saints",7
"1713","Larry Warford","G","Back","Questionable","New Oleans Saints",7
"1714","Mike Adams","S","Rest","Not Listed","Carolina Panthers",7
"1715","Mario Addison","DE","Rest","Not Listed","Carolina Panthers",7
"1716","Donte Jackson","CB","Groin","Not Listed","Carolina Panthers",7
"1717","Ben Jacobs","LB","Non-Injury Related","Not Listed","Carolina Panthers",7
"1718","Kyle Love","DT","Shoulder","Not Listed","Carolina Panthers",7
"1719","Greg Olsen","TE","Foot","Not Listed","Carolina Panthers",7
"1720","Julius Peppers","DE","Rest","Not Listed","Carolina Panthers",7
"1721","Andre Smith","LB","Hamstring","Out","Carolina Panthers",7
"1722","Vinny Curry","DE","Ankle","Out","Tampa Bay Buccaneers",7
"1723","Carlton Davis","CB","Back","Questionable","Tampa Bay Buccaneers",7
